Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInQPC,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartQPC,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080858466366,NA,16.70730000000000,16.57850000000000,0.14890000000000,32.87800000000000,49.0470,1080858300757,16.7098,16.5609,0.1489,32.6548,16.7841,0.8926,15.8915,0.2130,852.0671,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080858631384,NA,16.50180000000000,16.65090000000000,0.09460000000000,32.91680000000000,49.1961,1080858467855,16.4475,16.3529,0.0946,32.7291,16.5406,0.9656,15.5750,0.0589,868.7769,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080858797739,NA,16.63550000000000,16.67420000000000,0.12000000000000,32.93510000000000,49.2348,1080858632330,16.6609,16.5409,0.1200,32.8222,16.6538,0.5406,16.1132,-0.2267,885.2244,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080858964751,NA,16.70120000000000,16.65290000000000,0.10890000000000,32.92160000000001,49.1865,1080858798939,16.6901,16.5812,0.1089,32.8151,16.6877,0.5546,16.1331,0.0080,901.8853,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080859131923,NA,16.71720000000000,16.72770000000000,0.12770000000000,32.84760000000000,49.1970,1080858965840,16.7360,16.6083,0.1277,32.8127,16.6432,0.5449,16.0983,-0.0376,918.5754,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080859299567,NA,16.76440000000000,16.62810000000000,0.13700000000000,32.89130000000000,49.0607,1080859133200,16.7737,16.6367,0.1370,32.7199,16.8081,0.6286,16.1795,0.1079,935.3114,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080859464824,NA,16.52570000000000,16.66100000000000,0.16400000000000,32.90390000000000,49.1960,1080859300937,16.5527,16.3887,0.1640,32.7543,16.5383,0.7508,15.7875,0.1127,952.0851,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080859633118,NA,16.82940000000000,16.66220000000000,0.19630000000000,32.75090000000000,49.0288,1080859466464,16.8617,16.6654,0.1963,32.7399,16.6764,0.5955,16.0809,-0.1095,968.6378,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080859797354,NA,16.42360000000000,16.65670000000000,0.12710000000000,32.96100000000000,49.2619,1080859635081,16.3544,16.2273,0.1271,32.5546,16.6337,0.6070,16.0267,0.2050,985.4995,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080859964616,NA,16.72620000000000,16.65900000000000,0.12970000000000,32.91260000000000,49.1947,1080859798625,16.7288,16.5991,0.1297,32.8339,16.6778,0.5841,16.0937,-0.3046,1001.8539,NA,NA,NA
